msg_id,timestamp_send,timestamp_recv,rtt_us,msg_size_bytes,success
87,1745256125.190043,1745256125.1900802,37.19329833984375,800,1
88,1745256125.1974902,1745256125.1975284,38.14697265625,800,1
89,1745256125.199405,1745256125.1994154,10.49041748046875,800,1
90,1745256125.2093272,1745256125.2098784,551.2237548828125,1000000,1
91,1745256125.2173069,1745256125.2173455,38.623809814453125,800,1
92,1745256125.2192166,1745256125.2197876,571.0124969482422,1000000,1
93,1745256125.2235305,1745256125.2235575,26.941299438476562,800,1
94,1745256125.225486,1745256125.225982,495.91064453125,1000000,1
95,1745256125.2323508,1745256125.2324023,51.4984130859375,800,1
96,1745256125.2394133,1745256125.2394497,36.47804260253906,800,1
97,1745256125.2468095,1745256125.247336,526.42822265625,1000000,1
98,1745256125.250311,1745256125.2503479,36.95487976074219,800,1
