msg_id,timestamp_send,timestamp_recv,rtt_us,msg_size_bytes,success
86,1745255929.7186167,1745255929.7186193,2.6226043701171875,800,1
87,1745255929.7287636,1745255929.7290957,332.11708068847656,1000000,1
88,1745255929.7291179,1745255929.7291224,4.5299530029296875,800,1
89,1745255929.7291298,1745255929.7291331,3.337860107421875,800,1
90,1745255929.7291403,1745255929.7291439,3.5762786865234375,800,1
91,1745255929.729151,1745255929.7291543,3.337860107421875,800,1
92,1745255929.7291615,1745255929.7291646,3.0994415283203125,800,1
93,1745255929.7291718,1745255929.7291749,3.0994415283203125,800,1
94,1745255929.7291818,1745255929.729185,3.337860107421875,800,1
95,1745255929.729192,1745255929.7291956,3.5762786865234375,800,1
96,1745255929.7292025,1745255929.7292058,3.337860107421875,800,1
97,1745255929.7292128,1745255929.7292159,3.0994415283203125,800,1
